Key,Zh,En,Category,Notes
Plugin Market,插件市场,Plugin Market,插件,
Installed,已安装,Installed,插件,
Available,可用,Available,插件,
Available Plugins,可用插件,Available Plugins,插件,
Enable,启用,Enable,插件,
Disable,禁用,Disable,插件,
Version,版本,Version,插件,
Author,作者,Author,插件,
By:,作者：,By:,插件,
Description,描述,Description,插件,
Installing...,安装中...,Installing...,插件,
Storage Settings,存储设置,Storage Settings,设置页面,
Storage Location,存储位置,Storage Location,设置页面,
Default Location,默认位置,Default Location,设置页面,
Storage Usage,存储使用情况,Storage Usage,设置页面,
Theme Settings,主题设置,Theme Settings,设置页面,
Color Theme,颜色主题,Color Theme,设置页面,
View Settings,视图设置,View Settings,设置页面,
Show Connections,显示连接,Show Connections,设置页面,
Display connection lines between nodes,显示节点间的连接线,Display connection lines between nodes,设置页面,
Show Sidebar,显示侧边栏,Show Sidebar,设置页面,
Display the node list sidebar,显示节点列表侧边栏,Display the node list sidebar,设置页面,
Show Grid,显示网格,Show Grid,设置页面,
Display background grid,显示背景网格,Display background grid,设置页面,
Default View Mode,默认视图模式,Default View Mode,设置页面,
AI Settings,AI 设置,AI Settings,设置页面,
Test AI Connection,测试 AI 连接,Test AI Connection,设置页面,
Chat with AI to test the configuration,与 AI 聊天以测试配置,Chat with AI to test the configuration,设置页面,
AI Provider,AI 提供商,AI Provider,设置页面,
Base URL,基础URL,Base URL,设置页面,
Model Name,模型名称,Model Name,设置页面,
API Key,API 密钥,API Key,设置页面,
Enter your API key,输入您的 API 密钥,Enter your API key,设置页面,
OpenAI,OpenAI,OpenAI,设置页面,
Anthropic,Anthropic,Anthropic,设置页面,
API Configuration,API 配置,API Configuration,设置页面,
Get your API key from OpenAI or Anthropic,从 OpenAI 或 Anthropic 获取您的 API 密钥,Get your API key from OpenAI or Anthropic,设置页面,
Custom base URLs are supported,支持自定义基础URL,Custom base URLs are supported,设置页面,
After configuration, use "Test AI Connection" to verify,配置完成后，使用"测试 AI 连接"进行验证,After configuration, use "Test AI Connection" to verify,设置页面,
API Key is required,需要 API 密钥,API Key is required,设置页面,
AI configuration saved successfully,AI 配置已成功保存,AI configuration saved successfully,设置页面,
Error saving configuration,保存配置时出错,Error saving configuration,设置页面,
AI connection test initialized. Type a message to test.,AI 连接测试已初始化。输入消息进行测试。,AI connection test initialized. Type a message to test.,设置页面,
AI not configured. Please configure AI settings first.,AI 未配置。请先配置 AI 设置。,AI not configured. Please configure AI settings first.,设置页面,
Message sent and response received successfully,消息已发送并成功收到响应,Message sent and response received successfully,设置页面,
Type a message below to start,在下方输入消息开始,Type a message below to start,设置页面,
Type your message...,输入您的消息...,Type your message...,设置页面,
Version 0.1.0,版本 0.1.0,Version 0.1.0,设置页面,
Select Default View Mode,选择默认视图模式,Select Default View Mode,设置页面,
About Node Graph Notebook,关于 Node Graph Notebook,About Node Graph Notebook,设置页面,
Reset to Default,重置为默认,Reset to Default,设置页面,
Reset to default storage location?,重置为默认存储位置？,Reset to default storage location?,设置页面,
Reset,重置,Reset,设置页面,
Choose New Location,选择新位置,Choose New Location,设置页面,
Select Theme,选择主题,Select Theme,设置页面,
Keyboard Shortcuts,键盘快捷键,Keyboard Shortcuts,快捷键,
Create New Node,创建新节点,Create New Node,快捷键,
Undo,撤销,Undo,快捷键,
Redo,重做,Redo,快捷键,
Delete Selected Node,删除选中节点,Delete Selected Node,快捷键,
Search,搜索,Search,快捷键,
Export,导出,Export,快捷键,
Force Directed Layout,力导向布局,Force Directed Layout,布局,
Hierarchical Layout,层次布局,Hierarchical Layout,布局,
Circular Layout,环形布局,Circular Layout,布局,
Concept Map Layout,概念图布局,Concept Map Layout,布局,
calculating,计算中...,calculating,其他,
nodes,节点,nodes,其他,
graphs,图,graphs,其他,
Markdown Editor,Markdown 编辑器,Markdown Editor,编辑器,
Bold,粗体,Bold,编辑器,
Italic,斜体,Italic,编辑器,
H1,一级标题,H1,编辑器,
H2,二级标题,H2,编辑器,
List,列表,List,编辑器,
Code,代码,Code,编辑器,
Link,链接,Link,编辑器,
Image,图片,Image,编辑器,
No preview available,无预览可用,No preview available,编辑器,
View as text,文本视图,View as text,编辑器,
View as rendered,渲染视图,View as rendered,编辑器,
Title cannot be empty,标题不能为空,Title cannot be empty,编辑器,
Failed to save:,保存失败：,Failed to save:,编辑器,
Failed to save node:,保存节点失败：,Failed to save node:,编辑器,
Enter note title,输入笔记标题,Enter note title,编辑器,
Write your note in Markdown...,用 Markdown 编写您的笔记...,Write your note in Markdown...,编辑器,
Supports Markdown formatting,支持 Markdown 格式,Supports Markdown formatting,编辑器,
Created:,已创建：,Created:,编辑器,
Failed to create node:,创建节点失败：,Failed to create node:,编辑器,
Selected,已选择,Selected,编辑器,
Concept,概念,Concept,编辑器,
Apply,应用,Apply,编辑器,
Added,已添加,Added,编辑器,
removed,已移除,removed,编辑器,
node(s),个节点,node(s),编辑器,
Failed to update graph:,更新图失败：,Failed to update graph:,编辑器,
No results found,未找到结果,No results found,编辑器,
Import & Export,导入和导出,Import & Export,导入导出,
Import Markdown File,导入 Markdown 文件,Import Markdown File,导入导出,
Import a single Markdown file,导入单个 Markdown 文件,Import a single Markdown file,导入导出,
Batch Import,批量导入,Batch Import,导入导出,
Import multiple Markdown files,导入多个 Markdown 文件,Import multiple Markdown files,导入导出,
Import Graph,导入图,Import Graph,导入导出,
Import a saved graph file,导入保存的图文件,Import a saved graph file,导入导出,
Graph import feature - Coming soon!,图导入功能 - 即将推出！,Graph import feature - Coming soon!,导入导出,
No graph available to export,没有可导出的图,No graph available to export,导入导出,
Edit Metadata,编辑元数据,Edit Metadata,节点操作,
Manage Connections,管理连接,Manage Connections,节点操作,
Add Icon,添加图标,Add Icon,节点操作,
Change Color,更改颜色,Change Color,节点操作,
Duplicate,复制,Duplicate,节点操作,
Focus Node,聚焦节点,Focus Node,节点操作,
Select Color,选择颜色,Select Color,节点操作,
Edit Node Metadata,编辑节点元数据,Edit Node Metadata,节点操作,
Folder nodes can contain other nodes,文件夹节点可以包含其他节点,Folder nodes can contain other nodes,节点操作,
Metadata updated,元数据已更新,Metadata updated,节点操作,
Icon added:,图标已添加：,Icon added:,节点操作,
Icon removed,图标已移除,Icon removed,节点操作,
Select Icon,选择图标,Select Icon,节点操作,
Deleted:,已删除：,Deleted:,节点操作,
Current:,当前：,Current:,节点操作,
Duplicate Node,复制节点,Duplicate Node,节点操作,
Create a copy of,创建副本：,Create a copy of,节点操作,
Duplicated:,已复制：,Duplicated:,节点操作,
Focusing on,聚焦到：,Focusing on,节点操作,
Export Graph,导出图,Export Graph,导入导出,
Export the current graph as JSON,将当前图导出为 JSON,Export the current graph as JSON,导入导出,
Export as Markdown,导出为 Markdown,Export as Markdown,导入导出,
Export all nodes as Markdown files,将所有节点导出为 Markdown 文件,Export all nodes as Markdown files,导入导出,
Export as Image,导出为图片,Export as Image,导入导出,
Export graph as PNG image,将图导出为 PNG 图片,Export graph as PNG image,导入导出,
Image export feature - Coming soon!,图片导出功能 - 即将推出！,Image export feature - Coming soon!,导入导出,
Layout Algorithm,布局算法,Layout Algorithm,布局,
Force Directed,力导向布局,Force Directed,布局,
Physics-based layout,基于物理的布局,Physics-based layout,布局,
Hierarchical,层次布局,Hierarchical,布局,
Tree-based layout,基于树的布局,Tree-based layout,布局,
Circular,环形布局,Circular,布局,
Circle arrangement,环形排列,Circle arrangement,布局,
No nodes to layout. Create some nodes first.,没有节点可布局。请先创建一些节点。,No nodes to layout. Create some nodes first.,布局,
Select All,全选,Select All,节点操作,
Clear,清除,Clear,节点操作,
Clear Filters,清除过滤器,Clear Filters,节点操作,
No nodes found,未找到节点,No nodes found,节点操作,
Create your first graph to get started,创建你的第一张图以开始使用,Create your first graph to get started,节点操作,
Create Graph,创建图,Create Graph,节点操作,
Node is already in the graph,节点已在图中,Node is already in the graph,节点操作,
Failed to add node:,添加节点失败：,Failed to add node:,节点操作,
Graph creation functionality coming soon!,图创建功能即将推出！,Graph creation functionality coming soon!,节点操作,
Are you sure you want to delete,确定要删除,Are you sure you want to delete,节点操作,
Node,节点,Node,节点操作,
Node deleted,节点已删除,Node deleted,节点操作,
Error deleting node:,删除节点错误：,Error deleting node:,节点操作,
Failed to delete node:,删除节点失败：,Failed to delete node:,节点操作,
Remove from folder,从文件夹移除,Remove from folder,节点操作,
Try Again,重试,Try Again,工具栏,
Jump to node:,跳转到节点：,Jump to node:,链接,
Cannot open link:,无法打开链接：,Cannot open link:,链接,
File link:,文件链接：,File link:,链接,
Unsupported protocol:,不支持的协议：,Unsupported protocol:,链接,
Internal link:,内部链接：,Internal link:,链接,
Edit,编辑,Edit,编辑器,
Preview,预览,Preview,编辑器,
Title,标题,Title,编辑器,
Write your content in Markdown...,用 Markdown 编写内容...,Write your content in Markdown...,编辑器,
Nothing to preview,没有可预览的内容,Nothing to preview,编辑器,
Node created,节点已创建,Node created,编辑器,
Node saved,节点已保存,Node saved,编辑器,
Search nodes...,搜索节点...,Search nodes...,搜索,
selected,已选择,selected,搜索,
Delete Node,删除节点,Delete Node,节点操作,
deleted,已删除,deleted,节点操作,
Something went wrong,出现错误,Something went wrong,错误,
An unknown error occurred,发生未知错误,An unknown error occurred,错误,
No Graph Yet,还没有图,No Graph Yet,图视图,
Toggle Connections,切换连接显示,Toggle Connections,工具栏,
Toggle Sidebar,切换侧边栏,Toggle Sidebar,工具栏,
Refresh,刷新,Refresh,工具栏,
Create New Folder,创建新文件夹,Create New Folder,文件夹,
New Folder,新文件夹,New Folder,文件夹,
New folder created,新文件夹已创建,New folder created,文件夹,
Failed to create folder:,创建文件夹失败：,Failed to create folder:,文件夹,
No search plugin loaded,未加载搜索插件,No search plugin loaded,搜索,
Collapse Toolbar,折叠工具栏,Collapse Toolbar,工具栏,
Expand Toolbar,展开工具栏,Expand Toolbar,工具栏,
Create Node,创建节点,Create Node,节点操作,
Manage Graph Nodes,管理图节点,Manage Graph Nodes,节点操作,
Layout,布局,Layout,布局,
Saved searches,已保存的搜索,Saved searches,搜索,
Save as preset,保存为预设,Save as preset,搜索,
Add tag,添加标签,Add tag,搜索,
Enter search query...,输入搜索查询...,Enter search query...,搜索,
Advanced Filters,高级过滤器,Advanced Filters,搜索,
Title contains,标题包含,Title contains,搜索,
Content contains,内容包含,Content contains,搜索,
Please enter a search query first,请先输入搜索查询,Please enter a search query first,搜索,
Save Search,保存搜索,Save Search,搜索,
Preset Name,预设名称,Preset Name,搜索,
Delete Preset,删除预设,Delete Preset,搜索,
Are you sure you want to delete this search preset?,确定要删除此搜索预设吗？,Are you sure you want to delete this search preset?,搜索,
Title Only,仅标题,Title Only,视图模式,
Title with Preview,标题和预览,Title with Preview,视图模式,
Full Content,完整内容,Full Content,视图模式,
Compact,紧凑,Compact,视图模式,
Show Nodes,显示节点,Show Nodes,侧边栏,
Show Search,显示搜索,Show Search,侧边栏,
Current Location:,当前位置：,Current Location:,存储,
Choose a new storage location. All data will be stored in this location.,选择新的存储位置。所有数据将存储在此位置。,Choose a new storage location. All data will be stored in this location.,存储,
Warning: Changing the storage location will require restarting the app.,警告：更改存储位置需要重启应用。,Warning: Changing the storage location will require restarting the app.,存储,
Storage location reset. Please restart the app.,存储位置已重置。请重启应用。,Storage location reset. Please restart the app.,存储,
Storage location changed to:,存储位置已更改为：,Storage location changed to:,存储,
Restart,重启,Restart,存储,
A concept map-based note-taking application built with Flutter and Flame engine.,基于概念地图的笔记应用，使用 Flutter 和 Flame 引擎构建。,A concept map-based note-taking application built with Flutter and Flame engine.,关于,
Features:,特性：,Features:,关于,
Visual node graph with Flame engine,基于 Flame 引擎的可视化节点图,Visual node graph with Flame engine,关于,
Markdown editing support,Markdown 编辑支持,Markdown editing support,关于,
Multiple node types (Content & Concept),多种节点类型（内容节点和概念节点）,Multiple node types (Content & Concept),关于,
8 reference types for relationships,8种关系引用类型,8 reference types for relationships,关于,
Auto-layout algorithms,自动布局算法,Auto-layout algorithms,关于,
Search and filter functionality,搜索和过滤功能,Search and filter functionality,关于,
Quick Start Guide,快速入门指南,Quick Start Guide,文档,
1. Creating Nodes,1. 创建节点,1. Creating Nodes,文档,
Click the + button to create a new node,点击 + 按钮创建新节点,Click the + button to create a new node,文档,
Choose between Content or Concept node type,选择内容节点或概念节点类型,Choose between Content or Concept node type,文档,
Enter title and content,输入标题和内容,Enter title and content,文档,
2. Connecting Nodes,2. 连接节点,2. Connecting Nodes,文档,
Long press a node to open its menu,长按节点打开菜单,Long press a node to open its menu,文档,
Select "Connect to..." to link nodes,选择"连接到..."以链接节点,Select "Connect to..." to link nodes,文档,
Choose a reference type for the connection,为连接选择引用类型,Choose a reference type for the connection,文档,
3. Layout Options,3. 布局选项,3. Layout Options,文档,
Force Directed: Physics-based layout,力导向：基于物理的布局,Force Directed: Physics-based layout,文档,
Hierarchical: Tree-based layout,层次：基于树的布局,Hierarchical: Tree-based layout,文档,
Circular: Circle arrangement,环形：环形排列,Circular: Circle arrangement,文档,
Concept Map: Concept-focused layout,概念图：以概念为中心的布局,Concept Map: Concept-focused layout,文档,
4. Keyboard Shortcuts,4. 键盘快捷键,4. Keyboard Shortcuts,文档,
Ctrl+N: Create new node,Ctrl+N：创建新节点,Ctrl+N: Create new node,文档,
Ctrl+S: Save current node,Ctrl+S：保存当前节点,Ctrl+S: Save current node,文档,
Ctrl+F: Quick search,Ctrl+F：快速搜索,Ctrl+F: Quick search,文档,
Delete: Delete selected node,Delete：删除选中节点,Delete: Delete selected node,文档,
Markdown Enhancer,Markdown 增强器,Markdown Enhancer,插件市场,
Enhanced markdown editing with advanced features,具有高级功能的增强型 Markdown 编辑,Enhanced markdown editing with advanced features,插件市场,
Mind Map,思维导图,Mind Map,插件市场,
Create mind maps from your nodes,从您的节点创建思维导图,Create mind maps from your nodes,插件市场,
Export Tools,导出工具,Export Tools,插件市场,
Additional export formats for your graphs,为您的图表提供额外的导出格式,Additional export formats for your graphs,插件市场,
Integrate AI capabilities into your workflow,将 AI 功能集成到您的工作流中,Integrate AI capabilities into your workflow,插件市场,
Theme Manager,主题管理器,Theme Manager,插件市场,
Customize the appearance of your notebook,自定义笔记本的外观,Customize the appearance of your notebook,插件市场,
